series,name_en,geonunit,n_points,mean_gap,median_gap,eligible
Gemini 2.5 Flash,Bromley,England,2,,,False
Gemini 2.5 Flash,Bury,England,4,0.49920014749999997,0.0007577749999999,True
Gemini 2.5 Flash,Caerphilly,Wales,5,0.400162522,0.0055702499999999,True
Gemini 2.5 Flash,Calderdale,England,8,0.74076837,0.0306410249999999,True
Gemini 2.5 Flash,Cambridgeshire,England,19,0.8025783378947369,0.0130670999999999,True
Gemini 2.5 Flash,Camden,England,4,0.9938505975,0.99263809,True
Gemini 2.5 Flash,Cardiff,Wales,3,0.6647618266666667,6.374000000008984e-05,True
Gemini 2.5 Flash,Carmarthenshire,Wales,3,-0.6653223033333334,-0.0139044999999999,True
Gemini 2.5 Flash,Central Bedfordshire,England,1,,,False
Gemini 2.5 Flash,Ceredigion,Wales,2,,,False
Gemini 2.5 Flash,Cheshire East,England,4,0.49942979000000004,0.002473125,True
Gemini 2.5 Flash,Cheshire West and Chester,England,2,,,False
Gemini 2.5 Flash,Conwy,Wales,3,0.030779293333333332,0.00119614,True
Gemini 2.5 Flash,Cornwall,England,5,0.43177563999999996,0.0090816999999999,True
Gemini 2.5 Flash,Coventry,England,12,0.49090699833333334,0.007726884999999951,True
Gemini 2.5 Flash,Croydon,England,12,0.4350634208333333,0.00646531999999995,True
Gemini 2.5 Flash,Cumbria,England,6,-0.027349133333333348,0.0020732650000000004,True
Gemini 2.5 Flash,Denbighshire,Wales,2,,,False
Gemini 2.5 Flash,Derby,England,9,0.4719893244444444,0.01218158,True
Gemini 2.5 Flash,Derbyshire,England,13,0.4604691407692308,0.0014361,True
Gemini 2.5 Flash,Devon,England,25,0.3831594852,0.0045931,True
Gemini 2.5 Flash,Doncaster,England,1,,,False
Gemini 2.5 Flash,Dorset,England,5,0.795840274,-0.00019716,True
Gemini 2.5 Flash,Dumfries and Galloway,Scotland,9,0.4392245188888889,0.00242806,True
Gemini 2.5 Flash,Dundee,Scotland,1,,,False
Gemini 2.5 Flash,Durham,England,3,-0.0008009133333333288,2.1700000000013372e-05,True
Gemini 2.5 Flash,Ealing,England,4,0.4949561025,0.0034671299999999503,True
Gemini 2.5 Flash,East Ayrshire,Scotland,1,,,False
Gemini 2.5 Flash,East Lothian,Scotland,3,-0.0003133133333333667,-0.00015741,True
Gemini 2.5 Flash,East Renfrewshire,Scotland,2,,,False
Gemini 2.5 Flash,East Riding of Yorkshire,England,13,0.30459563307692306,0.00048607,True
Gemini 2.5 Flash,East Sussex,England,2,,,False
Gemini 2.5 Flash,Edinburgh,Scotland,23,0.5242452526086956,0.0038814999999999,True
Gemini 2.5 Flash,Enfield,England,3,1.2998513466666666,1.98714707,True
Gemini 2.5 Flash,Essex,England,7,0.5592034328571428,0.0271580799999999,True
Gemini 2.5 Flash,Fife,Scotland,7,0.5730851557142856,0.02521105,True
Gemini 2.5 Flash,Gateshead,England,2,,,False
Gemini 2.5 Flash,Glasgow,Scotland,10,0.600173704,0.00312469999999995,True
Gemini 2.5 Flash,Gloucestershire,England,11,0.18438686909090904,0.0047318599999999,True
Gemini 2.5 Flash,Gwynedd,Wales,3,0.6726533633333333,0.0181422199999999,True
Gemini 2.5 Flash,Halton,England,1,,,False
Gemini 2.5 Flash,Hampshire,England,21,0.6610175238095238,0.0032598499999999,True
